// This table pasted into App5-4A_SpaceBySpace-T24N_2022.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,VentSpcFuncDef,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHrlyUsePerPers,BaseWtrHtrType,IntLPDReg,AllowType1,AllowArea1,AllowType2,AllowArea2,AllowType3,AllowArea3,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,HlthcareEligible,ExcludeFromPredominantCalc,FuncSchGrpIsEditable,NRCCPRFSpaceFunction,NRCCPRFSpaceFunctionTailored,NRCCPRFSpaceFunctionTailoredRes,PVBatteryBldgType,; ,,
,Auditorium Area,Assembly - Auditorium seating area,142.86,0.5,245,105,1,0.09,Electric,0.7,Decorative/Display,0.45,None,0,None,0,150,150,0,0,50,1000,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,311,1,0,0,AuditoriumArea,AuditoriumArea,NA,Other,; ,,
,Auto Repair / Maintenance Area,Exhaust - Auto repair rooms,10,0.5,275,475,1,0.18,Gas,0.55,DetailedTaskWork,0.2,None,0,None,0,150,150,0.75064,0,200,1500,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,312,1,0,0,AutoRepairArea,NA,NA,Retail,; ,,Grn highlight => updates from NORESCO/RH 04/21/22
,"Barber, Beauty Salon, Spa Area",Retail - Beauty and nail salons,10,0.5,250,200,2,0.18,Gas,0.7,DetailedTaskWork,0.3,Decorative/Display,0.25,None,0,150,150,0,0,500,500,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,313,1,0,0,BeautySalonArea,NA,NA,Retail,; ,,
,Civic Meeting Place Area,Assembly - Legislative chambers,66.67,0.5,250,200,1.5,0.18,Electric,0.9,Decorative/Display,0.25,None,0,None,0,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,314,1,0,0,CivicMeetingPlaceArea,NA,NA,Other,; ,,
,"Classroom, Lecture, Training, Vocational Areas",Education - Classrooms (ages 9-18),50,0.5,245,155,1,0.18,Gas,0.6,WhiteOrChalkBoard (W/ft),7,None,0,None,0,150,150,0,0,50,500,1.5,2,School,SchoolOccupancy,SchoolReceptacle,SchoolServiceHotWater,SchoolLights,SchoolGasEquip,SchoolRefrigeration,SchoolInfiltration,SchoolHVACAvail,SchoolHtgSetpt,SchoolClgSetpt,SchoolElevator,SchoolEscalator,SchoolWtrHtrSetpt,315,1,0,0,ClassroomLectureTrainingVocationalArea,NA,NA,School,; ,,
,Computer Room,Misc - Computer (not printing),3,0.5,275,475,0,0.18,Electric,0.7,None,0,None,0,None,0,150,150,0,0,75,300,1,4,Data,DataOccupancy,DataReceptacle,DataServiceHotWater,DataLights,DataGasEquip,DataRefrigeration,DataInfiltration,DataHVACAvail,DataHtgSetpt,DataClgSetpt,DataElevator,DataEscalator,DataWtrHtrSetpt,316,0,1,0,ComputerRoom,NA,NA,"Office, Financial, Unleased Tenant",; ,Computer Room,
,Concourse and Atria Area,Retail - Mall common areas,33.33,0.5,250,250,0.5,0.18,Electric,0.6,Decorative/Display,0.25,None,0,None,0,150,150,0,0,100,300,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,317,1,1,0,MallAndAtria,NA,NA,Other,; ,,
,"Convention, Conference, Multipurpose and Meeting Area",General - Conference/meeting,66.67,0.5,245,155,1,0.09,Electric,0.75,Decorative/Display,0.25,None,0,None,0,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,318,1,0,1,ConventionConferenceMultipurposeMeetingCenterArea,MultipurposeArea,MultipurposeAreaMF,Other,; ,,
,Copy Room,"Exhaust - Copy, printing rooms",10,0.5,250,250,1,0.18,Electric,0.5,None,0,None,0,None,0,8760,8760,0,0,75,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,319,1,0,1,CopyRoom,NA,NA,"Office, Financial, Unleased Tenant",; ,,
,Corridor Area,General - Corridors,10,0.5,250,250,0,0,Electric,0.4,Decorative/Display,0.25,None,0,None,0,8760,8760,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,320,1,1,0,CorridorArea,NA,NA,Other,; ,,
,Dining Area (Bar/Lounge and Fine Dining),Food Service - Restaurant dining rooms,66.67,0.5,275,275,0.5,0.578,Gas,0.45,Decorative/Display,0.35,None,0,None,0,150,150,0,0,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,321,1,0,0,BarLoungeFineDiningArea,DiningArea,DiningAreaMF,Other,; ,,
,Dining Area (Cafeteria/Fast Food),Food Service - Cafeteria/fast-food dining,66.67,0.5,275,275,0.5,0.578,Gas,0.45,Decorative/Display,0.25,None,0,None,0,150,150,0,0.25,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,322,1,0,1,FastfoodDining,DiningArea,DiningAreaMF,Other,; ,,
,Dining Area (Family and Leisure),Food Service - Cafeteria/fast-food dining,66.67,0.5,275,275,0.5,0.578,Gas,0.4,Decorative/Display,0.25,None,0,None,0,150,150,0,0.25,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,323,1,0,0,FamilyDiningArea,DiningArea,DiningAreaMF,Other,; ,,
,"Electrical, Mechanical, Telephone Rooms",Misc - Telephone closets,3,0.5,250,250,3,0.18,Electric,0.4,DetailedTaskWork,0.2,None,0,None,0,8760,8760,0,0,200,200,1,4,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,324,1,1,0,ElectricalMechancialTelephoneRoom,NA,NA,"Office, Financial, Unleased Tenant",; ,,
,Exercise/Fitness Center and Gymnasium Areas,"Sports/Entertainment - Gym, sports arena (play area)",20,0.5,255,875,0.5,0.18,Gas,0.5,None,0,None,0,None,0,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,325,1,0,1,ExerciseCenterGymnasiumArea,NA,NA,Retail,; ,,
,Financial Transaction Area,Misc - Banks or bank lobbies,10,0.5,250,250,1.5,0.18,Electric,0.7,Decorative/Display,0.25,None,0,None,0,150,150,0,0,100,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,326,1,0,0,FinancialTransactionsArea,NA,NA,"Office, Financial, Unleased Tenant",; ,,
,Healthcare Facility and Hospitals (Exam/Treatment Room),Misc - All others,10,0.5,250,200,1.5,0.24,Electric,1.15,None,0,None,0,None,0,150,150,1.12596,0,300,3000,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,327,1,0,0,HospitalExamTreatment,NA,NA,Other,; ,,
,Healthcare Facility and Hospitals (Imaging Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.6,Decorative/Display,0.2,TunableWhiteOrDimToWarm,0.1,None,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,328,1,0,0,HospitalImaging,NA,NA,Other,; ,,
,Healthcare Facility and Hospitals (Medical Supply Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.55,None,0,None,0,None,0,150,150,0,0,50,300,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,329,1,0,0,HospitalMedicalSupply,NA,NA,Other,; ,,
,Healthcare Facility and Hospitals (Nursery),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.8,TunableWhiteOrDimToWarm,0.1,None,0,None,0,150,150,0,0,20,200,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,330,1,0,0,HospitalNursery,NA,NA,Other,; ,,
,Healthcare Facility and Hospitals (Nurse's Station),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.85,TunableWhiteOrDimToWarm,0.1,DetailedTaskWork,0.2,None,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,331,1,0,0,HospitalNurseStation,NA,NA,none,; ,,
,Healthcare Facility and Hospitals (Operating Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,1.9,None,0,None,0,None,0,150,150,0,0,300,3000,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,332,1,0,0,HospitalOperatingRoom,NA,NA,none,; ,,
,Healthcare Facility and Hospitals (Patient Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.7,Decorative/Display,0.15,TunableWhiteOrDimToWarm,0.1,None,0,150,150,0,0,20,200,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,333,1,0,0,HospitalPatientRoom,NA,NA,none,; ,,
,Healthcare Facility and Hospitals (Physical Therapy Room),Misc - All others,10,0.5,250,200,1.5,0.24,Electric,0.75,TunableWhiteOrDimToWarm,0.1,None,0,None,0,150,150,0,0,75,500,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,334,1,0,0,HospitalPhysicalTherapy,NA,NA,Other,; ,,
,Healthcare Facility and Hospitals (Recovery Room),Misc - All others,10,0.5,250,200,1.5,0.24,Gas,0.9,TunableWhiteOrDimToWarm,0.1,None,0,None,0,150,150,0,0,20,200,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,335,1,0,0,HospitalRecovery,NA,NA,none,; ,,
,High-Rise Residential Living Spaces,NA,5,0.5,245,155,0.5,RULE Spc:DwellingUnitXGalPerDay,Gas,na,None,0,None,0,None,0,150,150,0.6824,0,20,200,1.5,2,ResidentialLiving,ResidentialLivingOccupancy,ResidentialLivingReceptacle,ResidentialLivingServiceHotWater,ResidentialLivingLights,ResidentialLivingGasEquip,ResidentialLivingRefrigeration,ResidentialLivingInfiltration,ResidentialLivingHVACAvail,ResidentialLivingHtgSetpt,ResidentialLivingClgSetpt,ResidentialLivingElevator,ResidentialLivingEscalator,ResidentialLivingWtrHtrSetpt,336,0,1,0,HighRiseResidentialLivingSpace,NA,NA,Highrise Multifamily,; ,High-Rise Residential Living Spaces,
,Hotel Function Area,Lodging - Multipurpose assembly,142.86,0.5,250,200,0.5,0.096,Gas,0.85,Decorative/Display,0.25,None,0,None,0,150,150,0,0,50,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,337,0,0,0,HotelFunctionArea,HotelBallroomEventsArea,NA,Other,; ,Hotel Function Area,
,Hotel/Motel Guest Room,Lodging - Bedroom/living room,5,0.5,245,155,0.5,4.48,Gas,na,None,0,None,0,None,0,150,150,0,0,20,200,1.5,2,ResidentialLiving,ResidentialLivingOccupancy,ResidentialLivingReceptacle,ResidentialLivingServiceHotWater,ResidentialLivingLights,ResidentialLivingGasEquip,ResidentialLivingRefrigeration,ResidentialLivingInfiltration,ResidentialLivingHVACAvail,ResidentialLivingHtgSetpt,ResidentialLivingClgSetpt,ResidentialLivingElevator,ResidentialLivingEscalator,ResidentialLivingWtrHtrSetpt,338,0,0,0,HotelMotelGuestRoom,NA,NA,Other,; ,Hotel/Motel Guest Room,
,Kitchen/Food Preparation Area,Food Service - Kitchen (cooking),5,0.5,275,475,1.5,0.578,Gas,0.95,None,0,None,0,None,0,150,150,17.53768,1.12,100,500,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,339,1,0,1,KitchenCommercialFoodPreparation,NA,NA,Other,; ,,
,Kitchenette or Residential Kitchen,Exhaust - Kitchenettes,5,0.5,275,475,1,0.36,Gas,0.55,None,0,None,0,None,0,150,150,3,0.5,100,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,340,1,0,0,KitchenetteResidentialKitchen,NA,NA,Other,; ,,
,"Laboratory, Scientific",Education - University/college laboratories,10,0.5,250,200,2,0.18,Gas,0.9,SpecializedTaskWork,0.35,None,0,None,0,150,150,12.69264,0.28,500,1000,1.5,2,Laboratory,LaboratoryOccupancy,LaboratoryReceptacle,LaboratoryServiceHotWater,LaboratoryLights,LaboratoryGasEquip,LaboratoryRefrigeration,LaboratoryInfiltration,LaboratoryHVACAvail,LaboratoryHtgSetpt,LaboratoryClgSetpt,LaboratoryElevator,LaboratoryEscalator,LaboratoryWtrHtrSetpt,341,1,1,0,LaboratoryScientific,NA,NA,none,; ,,
,Laundry Area,"Lodging - Laundry rooms, central",10,0.5,250,250,3,0.578,Gas,0.45,None,0,None,0,None,0,8760,8760,0.75064,0,100,300,1.5,2,ResidentialCommon,ResidentialCommonOccupancy,ResidentialCommonReceptacle,ResidentialCommonServiceHotWater,ResidentialCommonLights,ResidentialCommonGasEquip,ResidentialCommonRefrigeration,ResidentialCommonInfiltration,ResidentialCommonHVACAvail,ResidentialCommonHtgSetpt,ResidentialCommonClgSetpt,ResidentialCommonElevator,ResidentialCommonEscalator,ResidentialCommonWtrHtrSetpt,342,1,0,1,Laundry,NA,NA,Highrise Multifamily,; ,,
,Library (Reading Area),Assembly - Libraries (reading rooms and stack areas),20,0.5,250,200,1.5,0.18,Electric,0.8,Decorative/Display,0.25,None,0,None,0,150,150,0,0,150,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,343,1,0,0,LibraryReadingArea,NA,NA,Other,; ,,
,Library (Stacks Area),Assembly - Libraries (reading rooms and stack areas),10,0.5,250,200,1.5,0.18,Electric,1,None,0,None,0,None,0,150,150,0,0,200,300,1,4,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,344,1,0,0,LibraryStacks,NA,NA,Other,; ,,
