;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,
;,Central HPWH Compressors look-up table,,,,,,,,,
;,Last modified:,,6/22/21 - SAC,,,,,,,
;,,,,,,,,,,
;,Source Data:,,"Ben Larson, Paul Kintner, Chip Barnaby & Bruce Wilcox - 2020 CHPWH dev team",,,,,,,
;,,,,,,,,,,
;,Mod history:,,"6/22/21 - SAC - added 'generic' 5, 11, 20, 26, 40 & 45 kW compressor types",,,,,,,
;,,,8/31/20 - SAC - created initial table from existing ruleset data and compressor capacity (kW) data from Ben Larson,,,,,,,
;,,,,,,,,,,
;,Independents:,,,,,,,CSE Simulation Compressor Types,,
;,,1,CHPWHCompType - numeric value that maps to DHWSys:CHPWHCompType,,,,,TypeID,Name,OutputCap
;,,,,,,,,48,Colmac CxV-5,10
;,Dependents:,,,,,,,49,Colmac CxA-10,21
;,,1,OutputCap - output heating capacity @ ambient 40 deg F,,,,,50,Colmac CxA-15,29
;,,,,,,,,45,Colmac CxA-20,41
;,,,,,,,,51,Colmac CxA-25,49
,TABLE T24RCHPWHCompressor,,,,,,,52,Colmac CxA-30,57
,,CHPWHCompType,OutputCap,,old name,new name,,53,Nyle C25A,5
,,48,10,;,Colmac CxV-5,Colmac CxV-5  (10kW cap @ 40F),,54,Nyle C60A,11
,,49,21,;,Colmac CxA-10,Colmac CxA-10  (21kW cap @ 40F),,55,Nyle C90A,20
,,50,29,;,Colmac CxA-15,Colmac CxA-15  (29kW cap @ 40F),,56,Nyle C125A,26
,,45,41,;,Colmac CxA-20,Colmac CxA-20  (41kW cap @ 40F),,46,Nyle C185A,40
,,51,49,;,Colmac CxA-25,Colmac CxA-25  (49kW cap @ 40F),,47,Nyle C250A,45
,,52,57,;,Colmac CxA-30,Colmac CxA-30  (57kW cap @ 40F),,67,Nyle C60A-CWP,11
,,53,5,;,Nyle C25A,Nyle C25A  (5kW cap @ 40F),,68,Nyle C90A-CWP,20
,,54,11,;,Nyle C60A,Nyle C60A  (11kW cap @ 40F),,69,Nyle C125A-CWP,26
,,55,20,;,Nyle C90A,Nyle C90A  (20kW cap @ 40F),,70,Nyle C185A-CWP,40
,,56,26,;,Nyle C125A,Nyle C125A  (26kW cap @ 40F),,71,Nyle C250A-CWP,45
,,46,40,;,Nyle C185A,Nyle C185A  (40kW cap @ 40F),,57,Sanden GS3-45HPA-US,4
,,47,45,;,Nyle C250A,Nyle C250A  (45kW cap @ 40F),,91,Generic-5,5
,,67,11,;,Nyle C60A-C,Nyle C60A-C  (11kW cap @ 40F),,92,Generic-11,11
,,68,20,;,Nyle C90A-C,Nyle C90A-C  (20kW cap @ 40F),,93,Generic-20,20
,,69,26,;,Nyle C125A-C,Nyle C125A-C  (26kW cap @ 40F),,94,Generic-26,26
,,70,40,;,Nyle C185A-C,Nyle C185A-C  (40kW cap @ 40F),,95,Generic-40,40
,,71,45,;,Nyle C250A-C,Nyle C250A-C  (45kW cap @ 40F),,96,Generic-45,45
,,57,4,;,Sanden GS3-45HPA-US,Sanden GS3-45HPA-US  (4kW cap @ 40F),,,,
,,153,5,;,Lochinvar AHP025-*-***N****,Lochinvar AHP025-*-***N****  (5kW cap @ 40F),,,,
,,154,11,;,Lochinvar AHP060-*-***N****,Lochinvar AHP060-*-***N****  (11kW cap @ 40F),,,,
,,155,20,;,Lochinvar AHP090-*-***N****,Lochinvar AHP090-*-***N****  (20kW cap @ 40F),,,,
